생체신호정보 연구실,협동과정바이오엔지니어링전공,박광석,서울대학교병원,http://bmsildb.snu.ac.kr
생체재료 및 면역공학 연구실,재료공학부,도준상,"131-313,314,317",http://bmie.snu.ac.kr/
생체재료공정연구실,,최영빈,서울대학교 의과대학 연구동 716호,http://bpal.snu.ac.kr
석유공학연구실,에너지자원공학과,"최종근, 정훈영","38동 325호, 326호",http://petro.snu.ac.kr
선박소음진동연구실,조선해양공학과,홍석윤,"34동 309,310호",http://snovil.snu.ac.kr/
선박저항성능연구실,조선해양공학과,이신형,42동 106호,http://snutt.snu.ac.kr/
소자공정 연구실,화학생물공학부,김재정,302동 907호,http://mipro.snu.ac.kr/
소프트 로봇 및 바이오닉스 연구실,기계공학부,박용래,312동 503호,http://softrobotics.snu.ac.kr
소프트웨어 원리 연구실,컴퓨터공학부,허충길,302동312-2호,http://sf.snu.ac.kr
소프트웨어 플랫폼 연구실,컴퓨터공학부,전병곤,302동 420호,http://spl.snu.ac.kr
수요예측연구실,공학전문대학원,이종수,37-319,http://temep.snu.ac.kr
수중음향연구실,조선해양공학과,성우제,34동 305호,http://uwal.snu.ac.kr/
수질환경연구실,건설환경공학부,최용주,35동 307호,http://wqe.snu.ac.kr
"스마트 기술, 정보, 문화와 지식 연구소 (i-STICK)",공학전문대학원,황준석,37동 320호,http://istick.snu.ac.kr
시각 및 학습 연구실,컴퓨터공학부,김건희,302동 319호,http://vision.snu.ac.kr
시뮬레이션 주도 구조설계 연구실,기계공학부,김도년,314동 304호,http://ssdl.snu.ac.kr/
시스템 건전성 및 리스크 관리 연구실,기계공학부,윤병동,301동 215호,http://shrm.snu.ac.kr/
시스템 및 합성생물학 연구실,화학생물공학부,서상우,302동 716호,https://seolab.snu.ac.kr
시스템 보안 연구실,전기·정보공학부,이병영,"301동 615호, 301동 653-1 호",http://compsec.snu.ac.kr
시스템 소프트웨어 및 구조 연구실,컴퓨터공학부,김진수,301동 517호,http://csl.snu.ac.kr
시스템 엔지니어링 연구실,공학전문대학원,서은석,38-406,https://sel.snu.ac.kr/
시스템설계연구실,조선해양공학과,노명일,34동 306호,http://sydlab.snu.ac.kr
시스템최적화 연구실,산업공학과,이경식,39동 317호,http://optimize.snu.ac.kr
신기술혁신 사업화,공학전문대학원,김연배,37-318,http://temep.snu.ac.kr
신소재공정연구실,재료공학부,홍성현,30-321-1,http://shhong.snu.ac.kr/
신호처리 시스템 연구실,전기·정보공학부,성원용,301동 852-3,https://sites.google.com/site/spslab2018/
