시군구,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강남구 개포동,개포주공5단지,전세,74.25,202307,"        43,000",             0,14,1983,삼성로4길 17,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,월세,53.98,202307,"        15,000",            70,13,1983,삼성로4길 17,202308~202507,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,61.19,202307,"        30,000",             0,10,1983,삼성로4길 17,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,74.25,202307,"        42,000",             0,1,1983,삼성로4길 17,202309~202509,갱신,-,"59,000",0
서울특별시 강남구 개포동,개포주공5단지,월세,83.17,202307,"        40,000",            43,3,1983,삼성로4길 17,202309~202509,갱신,-,"40,000",46
서울특별시 강남구 개포동,개포주공5단지,전세,61.19,202307,"        37,000",             0,8,1983,삼성로4길 17,202308~202508,갱신,-,"37,000",6
서울특별시 강남구 개포동,개포주공5단지,전세,74.25,202307,"        45,000",             0,5,1983,삼성로4길 17,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포주공6단지,전세,60.13,202307,"        40,000",             0,14,1983,개포로 516,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공6단지,월세,73.02,202307,"        10,000",           160,3,1983,개포로 516,202308~202508,갱신,-,"10,000",165
서울특별시 강남구 개포동,개포주공6단지,전세,60.13,202307,"        43,000",             0,8,1983,개포로 516,202309~202509,갱신,-,"56,000",0
서울특별시 강남구 개포동,개포주공6단지,전세,60.13,202307,"        35,000",             0,1,1983,개포로 516,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포주공6단지,월세,73.02,202307,"        15,000",           132,8,1983,개포로 516,202309~202509,갱신,-,"15,000",150
서울특별시 강남구 개포동,개포주공6단지,월세,60.13,202307,"        13,000",            85,11,1983,개포로 516,202308~202507,갱신,-,"13,000",85
서울특별시 강남구 개포동,개포주공6단지,월세,53.06,202307,"        26,000",            36,9,1983,개포로 516,202309~202509,갱신,-,"26,000",29
서울특별시 강남구 개포동,개포주공6단지,전세,83.21,202307,"        51,000",             0,13,1983,개포로 516,202307~202507,갱신,-,"80,000",0
서울특별시 강남구 개포동,개포주공6단지,전세,83.21,202307,"        52,000",             0,4,1983,개포로 516,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포주공6단지,전세,73.02,202307,"        50,000",             0,13,1983,개포로 516,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포주공6단지,전세,73.02,202307,"        50,000",             0,10,1983,개포로 516,-,-,-, , 
서울특별시 강남구 개포동,개포주공6단지,전세,83.21,202307,"        52,000",             0,5,1983,개포로 516,202308~202508,갱신,사용,"57,750",0
서울특별시 강남구 개포동,개포주공6단지,전세,73.02,202307,"        50,000",             0,15,1983,개포로 516,202307~202507,갱신,사용,"52,500",52
서울특별시 강남구 개포동,개포주공6단지,전세,83.21,202307,"        52,000",             0,10,1983,개포로 516,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,월세,83.7,202307,"         5,000",           180,8,1983,개포로 516,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,전세,53.46,202307,"        42,000",             0,3,1983,개포로 516,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,월세,53.46,202307,"         3,000",           120,8,1983,개포로 516,202307~202507,갱신,-,"3,000",105
서울특별시 강남구 개포동,개포주공7단지,전세,53.46,202307,"        34,000",             0,9,1983,개포로 516,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,월세,53.46,202307,"        24,000",            65,8,1983,개포로 516,202308~202508,갱신,-,"24,000",75
서울특별시 강남구 개포동,개포주공7단지,전세,73.26,202307,"        53,000",             0,10,1983,개포로 516,202311~202511,갱신,-,"63,000",0
서울특별시 강남구 개포동,개포주공7단지,전세,53.46,202307,"        29,700",             0,13,1983,개포로 516,202308~202508,갱신,-,"28,350",0
서울특별시 강남구 개포동,개포주공7단지,전세,73.26,202307,"        44,100",             0,6,1983,개포로 516,202308~202508,갱신,-,"44,100",0
서울특별시 강남구 개포동,개포주공7단지,월세,60.76,202307,"         5,000",           150,5,1983,개포로 516,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,전세,60.76,202307,"        46,000",             0,2,1983,개포로 516,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공7단지,전세,73.26,202307,"        48,000",             0,3,1983,개포로 516,202310~202510,신규,-,0,0
서울특별시 강남구 개포동,개포현대200동,전세,82.2,202307,"        70,000",             0,5,1986,언주로 105,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,경남1,전세,123.28,202307,"        92,000",             0,5,1984,언주로 110,202309~202509,갱신,-,"68,250",0
서울특별시 강남구 개포동,경남1,전세,123.28,202307,"        88,000",             0,2,1984,언주로 110,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,84.6348,202307,"       130,000",             0,18,2019,삼성로 11,202309~202509,갱신,-,"92,400",0
서울특별시 강남구 개포동,디에이치아너힐즈,전세,76.1709,202307,"       120,000",             0,22,2019,삼성로 11,202309~202509,신규,-,0,0
