동,count,mean,std,min,25%,50%,75%,max
풍납동,6.0,76916.66666666667,23508.331856315683,52000.0,61625.0,68250.0,97000.0,107000.0
하계동,13.0,64461.53846153846,19771.045262434425,30000.0,45000.0,67500.0,80000.0,96000.0
하왕십리동,19.0,99718.42105263157,20835.687937115625,74000.0,82100.0,97000.0,111000.0,136750.0
하월곡동,11.0,73090.90909090909,22990.017596576763,51000.0,63000.0,70000.0,75500.0,137000.0
한강로3가,2.0,299900.0,28425.69260369921,279800.0,289850.0,299900.0,309950.0,320000.0
한남동,3.0,300666.6666666667,140930.24279172067,170000.0,226000.0,282000.0,366000.0,450000.0
항동,1.0,65000.0,,65000.0,65000.0,65000.0,65000.0,65000.0
행당동,25.0,107188.0,23152.03950699232,69700.0,90000.0,104500.0,120000.0,159000.0
현석동,2.0,149000.0,65053.82386916237,103000.0,126000.0,149000.0,172000.0,195000.0
현저동,1.0,55000.0,,55000.0,55000.0,55000.0,55000.0,55000.0
홍은동,16.0,72331.25,24165.449682001232,27000.0,56225.0,75500.0,79875.0,137000.0
홍제동,18.0,77066.66666666667,22765.117795330956,36700.0,65000.0,70000.0,100000.0,110000.0
홍파동,4.0,160875.0,28137.682325782745,134000.0,138125.0,160250.0,183000.0,189000.0
화곡동,26.0,79496.15384615384,39250.80871288366,8200.0,46250.0,86150.0,109250.0,142000.0
화양동,6.0,26700.0,23931.569108606313,13700.0,15625.0,16000.0,22000.0,75000.0
황학동,9.0,53911.11111111111,33805.45238731633,12600.0,16500.0,70000.0,74800.0,100000.0
회기동,3.0,24733.333333333332,208.16659994661327,24500.0,24650.0,24800.0,24850.0,24900.0
회현동1가,1.0,225000.0,,225000.0,225000.0,225000.0,225000.0,225000.0
효창동,1.0,155000.0,,155000.0,155000.0,155000.0,155000.0,155000.0
휘경동,8.0,66250.0,16309.41883873067,46500.0,53975.0,65250.0,77275.0,89000.0
흑석동,6.0,131250.0,12295.324314551446,120000.0,120500.0,128250.0,142375.0,146000.0
흥인동,2.0,22950.0,11242.997820866105,15000.0,18975.0,22950.0,26925.0,30900.0
