,조회연도,기업명,안정성유동비율,자기자본구성비율,부채비율,매출액순이익율,자기자본순이익율,매출액영업이익율,총자산순이익율,총자산회전율,자기자본회전율,총수지비율,경상수지비율,영업수지비율,영업수익,영업비용,영업이익,영업외수익,영업외비용,법인세차감전이익,법인세등,당기순이익,지자체,수도권여부,지역,설립기관,운영구분,공기업유형
583,2015,군포도시공사,374.1,71.2,40.5,0,0,0,0,21,28.5,100,100,100,11958,11958,0,46,46,0,0,0,기초,수도권,경기도,경기도 군포시,간접,기타공사
584,2016,군포도시공사,250.8,60.1,66.3,0,0,0,0,27.7,42.5,100,100,100,17851,17851,0,34,34,0,0,0,기초,수도권,경기도,경기도 군포시,간접,기타공사
585,2017,군포도시공사,227.75,56.09,78.28,0,0,0,0,29.37,50.61,100,100,100,21255,21255,0,40,40,0,0,0,기초,수도권,경기도,경기도 군포시,간접,기타공사
586,2018,군포도시공사,310.87,40.51,146.84,0,0,0,0,26.84,57.05,100,100,100,23961,23961,0,52,52,0,0,0,기초,수도권,경기도,경기도 군포시,간접,기타공사
587,2019,군포도시공사,5767.07,97.05,3.04,0,0,0,0,2.11,2.22,100,100,100,28707,28707,0,85,85,0,0,0,기초,수도권,경기도,경기도 군포시,간접,기타공사
588,2020,군포도시공사,7455.26,98.31,1.72,0,0,0,0,1.02,1,100,100,100,28907,29142,-235,589,152,202,23,180,기초,수도권,경기도,경기도 군포시,간접,기타공사
589,2011,전주시시설관리공단,155.96,38.4,160.44,0.05,0.98,0.98,0.39,7.21,18.06,100.05,100,99.86,13808,13827,-19,202,176,7,0,7,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
590,2012,전주시시설관리공단,190.7,51.96,92.45,0.08,1.5,1.5,1.5,8.67,19.47,100.08,100.08,99.77,15113,15147,-34,240,194,12,0,12,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
591,2013,전주시시설관리공단,208.06,54.86,82.28,0.06,1.19,-0.26,0.64,10.8,20.11,100.06,100.06,99.74,15794,15835,-41,206,155,10,0,10,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
592,2014,전주시시설관리공단,245.16,63.14,58.39,0.04,0.88,-0.19,0.52,12.73,21.59,100.04,100.04,99.81,17104,17136,-32,233,193,8,0,8,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
593,2015,전주시시설관리공단,293.77,69.76,43.35,0,0,-0.25,0,16.13,24.34,100,100,99.75,19284,19333,-49,186,137,0,0,0,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
594,2016,전주시시설관리공단,379.01,74.85,33.6,0,0.11,-0.04,0.08,19.97,27.65,100,100,99.96,21917,21926,-9,179,169,1,0,1,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
595,2017,전주시시설관리공단,402.49,76.62,30.51,0,0,0,0,22.76,30.05,100,100,100,23838,23836,2,159,161,0,0,0,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
596,2018,전주시시설관리공단,259.96,66.98,49.29,0,0,-0.44,0,23.01,32.19,100,100,99.56,25533,25645,-112,307,195,0,0,0,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
597,2019,전주시시설관리공단,210.96,59.84,67.12,0,0,-0.4,0,22.9,36.23,100,100,99.61,28740,28853,-113,405,291,1,0,1,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
598,2020,전주시시설관리공단,142.84,55.41,80.49,0,0,-0.38,0,21.99,38.33,100,100,99.62,30406,30521,-116,371,256,0,0,0,기초,비수도권,전라북도,전라북도 전주시,간접,지방공단
599,2011,화성도시공사,202.19,22.63,341.94,-56.12,-11.39,-11.39,-2.73,0.05,0.2,65.62,65.62,63.89,12861,20131,-7270,915,862,-7217,0,-7217,기초,수도권,경기도,경기도 화성시,간접,기타공사
600,2012,화성도시공사,214.75,23.05,333.88,-21.59,-7.75,-7.75,-1.77,0.08,0.36,84.57,84.57,71.65,22983,32075,-9092,4212,83,-4963,0,-4963,기초,수도권,경기도,경기도 화성시,간접,기타공사
601,2013,화성도시공사,317.13,22.41,346.19,-3.02,-0.28,-7.81,-0.16,0.02,0.09,97.2,97.2,92.75,26466,28534,-2068,1269,0,-799,0,-799,기초,수도권,경기도,경기도 화성시,간접,기타공사
602,2014,화성도시공사,184.5,24.53,307.69,-39.2,-22.39,-7.04,-5.27,0.13,0.57,72.6,72.6,93.43,50183,53714,-3531,1942,18085,-19674,0,-19674,기초,수도권,경기도,경기도 화성시,간접,기타공사
603,2015,화성도시공사,184.5,24.53,307.69,21.9,12.5,21.08,4.38,0.2,0.57,123.8,142.65,126.71,74875,59090,15785,10443,718,25510,9110,16400,기초,수도권,경기도,경기도 화성시,간접,기타공사
604,2016,화성도시공사,259.7,50.64,97.47,21.35,12.5,21.62,4.38,0.2,0.57,141.67,141.67,127.58,74740,72569,2171,952,2007,1116,0,1116,기초,수도권,경기도,경기도 화성시,간접,기타공사
605,2017,화성도시공사,291.17,67.35,48.49,6.84,3.56,3.81,2.06,0.3,0.52,106.94,106.94,103.96,85240,81993,3247,4649,1760,6136,305,5831,기초,수도권,경기도,경기도 화성시,간접,기타공사
606,2018,화성도시공사,322.93,68.99,44.94,2.37,1.66,-0.54,1.13,0.7,0.4,102.3,102.3,99.47,112291,112892,-601,5860,1377,3882,1225,2657,기초,수도권,경기도,경기도 화성시,간접,기타공사
607,2019,화성도시공사,385.22,73.99,35.14,8.37,4.67,-1.83,3.34,0.4,0.56,108.12,109.17,98.2,89298,90936,-1638,10141,150,8353,881,7472,기초,수도권,경기도,경기도 화성시,간접,기타공사
608,2020,화성도시공사,564.58,82.13,21.76,4.42,1.58,-2.39,1.23,0.28,0.36,104.27,105.44,97.66,59157,60572,-1415,4765,50,3300,684,2616,기초,수도권,경기도,경기도 화성시,간접,기타공사
609,2011,화성시하수도,164.33,73.14,28.68,-75.93,-4.2,-4.09,-3.21,0.04,0.06,69.67,70.24,40.81,11934,29241,-17307,8887,403,-8823,0,-8823,기초,수도권,경기도,경기도 화성시,직영,하수도
610,2012,화성시하수도,448.69,76.05,23,-36.82,-1.94,-1.94,-1.54,0.04,0.05,86.56,106.63,45.55,12405,27237,-14832,17003,6738,-4567,0,-4567,기초,수도권,경기도,경기도 화성시,직영,하수도
611,2013,화성시하수도,494.42,77.69,20.61,-74.13,-3.76,-156.51,-3.09,0.04,0.05,71.35,71.35,38.99,12812,32864,-20052,10835,280,-9497,0,-9497,기초,수도권,경기도,경기도 화성시,직영,하수도
612,2014,화성시하수도,988.2,85.61,16.81,-34.14,-1.69,-162.37,-1.42,0.04,0.05,87.07,87.07,38.11,13310,34921,-21611,17290,223,-4544,0,-4544,기초,수도권,경기도,경기도 화성시,직영,하수도
613,2015,화성시하수도,1400.27,88.02,13.61,-90.52,-5.42,-119.44,-4.71,0.05,0.06,59.22,59.22,45.57,17317,38001,-20684,5444,436,-15676,0,-15676,기초,수도권,경기도,경기도 화성시,직영,하수도
614,2016,화성시하수도,719853,99,0.02,43,3,-98,3,0.07,0.07,121,121,50,22280,44288,-22008,31924,304,9612,0,9612,기초,수도권,경기도,경기도 화성시,직영,하수도
615,2017,화성시하수도,439015,99.99,0.01,-62.64,-3.93,-108.51,-3.93,0.06,0.06,70.03,70.03,47.96,27977,58334,-30357,12980,147,-17524,0,-17524,기초,수도권,경기도,경기도 화성시,직영,하수도
616,2018,화성시하수도,549771,99.99,0.01,-0.52,-0.03,-102.87,-0.03,0.06,0.06,99.75,99.75,49.29,32051,65023,-32972,32887,80,-165,0,-165,기초,수도권,경기도,경기도 화성시,직영,하수도
617,2019,화성시하수도,133489,99.98,0.02,-64.89,-4.44,-70.63,-4.44,0.07,0.07,62.14,62.14,58.61,42165,71947,-29782,2739,319,-27362,0,-27362,기초,수도권,경기도,경기도 화성시,직영,하수도
618,2020,화성시하수도,597838.28,99.97,0.03,-62.12,-5.17,-68.01,-5.17,0.08,0.08,63.33,63.33,59.52,52489,88931,-32700,3834,742,-32607,0,-32607,기초,수도권,경기도,경기도 화성시,직영,하수도
619,2011,울산광역시남구도시관리공단,108.2,5.6,1217,0,0,0,0,5.29,118.58,100,100,100,5928,5928,0,0,0,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
620,2012,울산광역시남구도시관리공단,170.9,12.8,141.8,0,0,0,0,136.45,136.45,100,100,100,6822,6822,0,0,0,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
621,2013,울산광역시남구도시관리공단,211,46.4,90.1,0,0,0,0,68,146.6,100,100,100,7300,7300,0,80,80,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
622,2014,울산광역시남구도시관리공단,206.1,52,94.2,0,0,0,0,81.6,156.79,100,100,100,7839,7839,0,80,80,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
623,2015,울산광역시남구도시관리공단,443.7,103.2,29.1,0,0,0,0,72.72,105.71,100,100,100,10571,10571,0,83,83,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
624,2016,울산광역시남구도시관리공단,169,53.5,144.8,0,0,0,0,39.45,73.76,100,100,100,11064,11064,0,69,69,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
625,2017,울산광역시남구도시관리공단,331.9,51.6,43.1,0,0,0,0,45.14,87.56,0,0,0,13134,13134,0,63,63,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
626,2018,울산광역시남구도시관리공단,143.3,42.2,231,0,0,0,0,34.79,82.47,100,100,100,12370,12370,0,58,58,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
627,2019,울산광역시남구도시관리공단,122.3,22.8,447.5,0,0,0,0,23,101.02,100,100,100,15152,15152,0,108,108,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
628,2020,울산광역시남구도시관리공단,184.8,26.1,117.9,0,0,0,0,25.47,97.48,100,100,100,14622,14622,0,120,120,0,0,0,기초,비수도권,울산광역시,울산광역시 남구,간접,지방공단
629,2011,강릉시하수도,71.35,69.25,44.41,-194.21,-5.89,-269.21,-4.01,0.02,0.03,56.84,56.85,27.08,5666,20922,-15256,8830,4578,-11004,0,-11004,기초,비수도권,강원도,강원도 강릉시,직영,하수도
630,2012,강릉시하수도,174.88,71.79,39.29,-247.16,-7.85,-252.46,-5.54,0.02,0.03,41.64,41.64,28.37,6372,22460,-16088,4867,4529,-15750,0,-15750,기초,비수도권,강원도,강원도 강릉시,직영,하수도
631,2013,강릉시하수도,96.42,72.94,37.09,-221,-7.4,-232.14,-5.35,0.02,0.03,43.81,43.81,30.11,7060,23451,-16391,5103,4316,-15604,0,-15604,기초,비수도권,강원도,강원도 강릉시,직영,하수도
632,2014,강릉시하수도,61.57,73.3,36.43,-265.7,-9.02,-283.26,-6.6,0.02,0.03,39.81,39.81,26.09,7150,27403,-20253,5414,4159,-18998,0,-18998,기초,비수도권,강원도,강원도 강릉시,직영,하수도
633,2015,강릉시하수도,218.33,75.15,33.07,-207.36,-8.43,-215.69,-6.25,0.03,0.04,43.72,43.72,31.68,8692,27441,-18749,5312,4588,-18025,0,-18025,기초,비수도권,강원도,강원도 강릉시,직영,하수도
634,2016,강릉시하수도,548.96,77.18,29.57,-98.83,-5.23,-110.3,-3.98,0.04,0.06,58.86,58.86,47.55,12585,26466,-13881,4307,2234,-11808,0,-11808,기초,비수도권,강원도,강원도 강릉시,직영,하수도
635,2017,강릉시하수도,536.05,81.09,23.32,-57.63,-3.73,-66.81,-2.95,0.05,0.06,67.97,67.97,67.97,16440,27423,-10983,3667,2159,-9475,0,-9475,기초,비수도권,강원도,강원도 강릉시,직영,하수도
636,2018,강릉시하수도,858.1,82.82,20.75,-49.02,-3.02,-57.04,-2.48,0.05,0.06,70.77,70.77,63.68,17632,27689,-10057,3298,1884,-8643,0,-8643,기초,비수도권,강원도,강원도 강릉시,직영,하수도
637,2019,강릉시하수도,699.95,84.22,18.73,-80.08,-5.09,-90.07,-4.25,0.05,0.06,53.12,53.12,55.53,16876,30389,-13513,347,2033,-15199,0,-15199,기초,비수도권,강원도,강원도 강릉시,직영,하수도
638,2020,강릉시하수도,405.97,85.52,16.93,-95.4,-5.35,-95.4,-4.54,0.04,0.05,50.3,50.3,51.18,16040,31342,-15302,451,1446,-16297,0,-16297,기초,비수도권,강원도,강원도 강릉시,직영,하수도
639,2011,거제시하수도,1084028,99.9,0.1,-97.02,-3.38,-117.89,-3.38,0.03,0.03,55.47,55.47,45.9,4291,9349,-5058,895,0,-4163,0,-4163,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
640,2012,거제시하수도,2177924,99.9,0.1,-123.51,-3.47,-153.06,-3.47,0.03,0.03,51.19,51.19,39.52,4368,11052,-6684,1242,0,-5442,0,-5442,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
641,2013,거제시하수도,3086332,99.93,0.07,-58.31,-1.56,-127.87,-1.56,0.03,0.03,74.43,74.43,43.89,5274,12019,-6745,3679,9,-3075,0,-3075,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
642,2014,거제시하수도,2979617,99.93,0.07,-91.96,-2.37,-140.81,-2.37,0.03,0.03,61.9,61.9,41.53,5908,14229,-8321,2919,32,-5434,0,-5434,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
643,2015,거제시하수도,16703,99.86,0.14,-105.16,-2.81,-151.65,-2.81,0.03,0.03,58.23,58.23,39.74,6836,17204,-10368,3186,8,-7190,0,-7190,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
644,2016,거제시하수도,7274,99.83,0.17,-111.3,-3.16,-146.94,-3.15,0.03,0.03,54.93,54.93,40.5,7658,18912,-11254,2730,0,-8524,0,-8524,기초,비수도권,경상남도,경상남도 거제시,직영,하수도
649,2011,노원구서비스공단,121.17,100,414.38,0,0,0,0,17.18,17.18,100,100,100,7733,7733,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
650,2012,노원구서비스공단,114.91,100,559.92,0,0,0,0,22.01,4.91,100,100,100,9905,9905,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
651,2013,노원구서비스공단,134,100,264.85,0,0,0,0,5.11,26.24,100,100,100,11810,11810,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
652,2014,노원구서비스공단,128.49,100,332.06,0,0,0,0,7.11,28.34,100,100,100,12756,12756,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
653,2015,노원구서비스공단,238.91,100,58.94,0,0,0,0,10.32,30.5,100,100,100,13726,13726,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
654,2016,노원구서비스공단,124.79,100,363.52,0,0,0,0,10.58,32.94,100,100,100,14825,14825,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
655,2017,노원구서비스공단,148.76,100,195.7,0,0,0,0,10.77,40.88,100,100,100,18399,18399,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
656,2018,노원구서비스공단,153.08,100,183.65,0,0,0,0,17.52,50.76,100,100,100,22842,22842,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
657,2019,노원구서비스공단,157.38,100,171.87,0,0,0,0,16.94,46.72,100,100,100,21028,21028,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
658,2020,노원구서비스공단,152.93,100,18892,0,0,0,0,14.48,40.61,100,100,100,18276,18276,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단
659,2011,남양주도시공사,127.84,66.97,49.33,-8.99,-4.34,-11.01,-2.85,0.32,0.48,91.91,91.91,90.08,13111,14555,-1444,266,0,-1178,0,-1178,기초,수도권,경기도,경기도 남양주시,간접,기타공사
660,2012,남양주도시공사,113.47,34.13,192.97,-4.28,-2.44,-8.93,-1.08,0.25,0.57,96.08,96.08,91.8,16197,17643,-1446,754,0,-692,0,-692,기초,수도권,경기도,경기도 남양주시,간접,기타공사
661,2013,남양주도시공사,80.92,32.49,207.82,-3.94,-2.37,-7.67,-0.79,0.2,0.6,96.34,96.34,92.88,17991,19370,-1379,676,5,-708,0,-708,기초,수도권,경기도,경기도 남양주시,간접,기타공사
662,2014,남양주도시공사,80.33,42.02,137.99,-1.02,-1.32,-1.95,-0.48,0.47,1.29,99,99,98.08,37932,38673,-741,355,0,-386,0,-386,기초,수도권,경기도,경기도 남양주시,간접,기타공사
663,2015,남양주도시공사,135.31,66.54,50.28,-0.53,-0.89,-0.26,-0.46,0.87,1.69,99.48,99.48,99.74,48996,49122,-126,65,197,-258,0,-258,기초,수도권,경기도,경기도 남양주시,간접,기타공사
664,2016,남양주도시공사,119.77,57.02,75.38,-2.53,-2.72,-3.3,-1.67,0.66,1.08,97.59,97.59,96.8,1882,2897,-1015,703,464,-776,0,-776,기초,수도권,경기도,경기도 남양주시,간접,기타공사
665,2017,남양주도시공사,95.5,30.15,231.68,1.91,2.05,-5.85,0.81,0.42,1.08,101.8,101.8,94.47,1405,3191,-1786,2433,65,582,0,582,기초,수도권,경기도,경기도 남양주시,간접,기타공사
666,2018,남양주도시공사,98.04,28.69,248.57,5.58,7.65,5.36,2.25,0.4,1.37,105.9,105.9,105.66,5158,2967,2191,94,3,2282,0,2282,기초,수도권,경기도,경기도 남양주시,간접,기타공사
667,2019,남양주도시공사,106.96,24.71,304.67,1.22,1.41,0.32,0.37,0.31,1.16,101.22,101.22,100.33,41826,41690,136,376,4,508,0,508,기초,수도권,경기도,경기도 남양주시,간접,기타공사
668,2020,남양주도시공사,99.59,47.7,109.63,2.4,1.32,1.35,0.48,0.2,0.55,102.43,102.43,101.37,34396,33930,466,441,82,825,0,825,기초,수도권,경기도,경기도 남양주시,간접,기타공사
669,2011,중구시설관리공단,204.9,64.4,55.4,0,0,0,0,9.3,13.5,100,100,100,10136,10136,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
670,2012,중구시설관리공단,162.4,50.7,111,0,0,0,0,9.1,16.6,100,100,100,10346,10346,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
671,2013,중구시설관리공단,162.8,46.8,113.6,0,0,0,0,7.1,10,100,100,100,11224,11224,0,300,300,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
672,2014,중구시설관리공단,121.9,27.3,266.5,0,0,0,0,4.44,16.29,100,100,100,12218,12218,0,304,304,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
673,2015,중구시설관리공단,147.1,31.8,250.2,0,0,0,0,1.15,16.53,100,100,100,12401,12401,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
674,2016,중구시설관리공단,199,48.4,106.7,0,0,0,0,1.65,18.37,100,100,100,13776,13776,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
675,2017,중구시설관리공단,232.4,51.4,94.7,0,0,0,0,2.64,21.16,100,100,100,15870,15870,0,0,0,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
676,2018,중구시설관리공단,145.47,41.01,143.82,0,0,0,0,10.55,23.13,100,100,100,17344,17344,0,304,304,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
677,2019,중구시설관리공단,115.6,39.88,150.75,0,0,0,0,11.01,27.23,100,100,100,20424,20424,0,432,432,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
678,2020,중구시설관리공단,117.38,38.61,158.97,0,0,0,0,9.46,24.11,100,100,100,18081,18081,0,74,74,0,0,0,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단
679,2011,함안군상수도,610.82,90.01,11.1,-17.34,-0.97,-62.61,-0.86,0.05,0.06,91.1,91.1,61.42,4273,6439,-2166,1871,305,-600,0,-600,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
680,2012,함안군상수도,666.64,91.57,9.21,-41.38,-2.46,-59.33,-2.23,0.05,0.06,79.31,79.31,61.95,4576,6817,-2241,1415,737,-1563,0,-1563,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
681,2013,함안군상수도,548.62,93.08,7.43,-38.58,-2.38,-72.81,-2.2,0.06,0.06,80.3,80.3,57.27,4743,7743,-3000,1569,118,-1549,0,-1549,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
682,2014,함안군상수도,490.74,95.72,4.47,-50.62,-3.07,-86.37,-2.9,0.06,0.06,75.44,75.44,52.99,4841,8390,-3549,1548,79,-2080,0,-2080,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
683,2015,함안군상수도,578,97,3,32,2,-83,2,0,0,116,116,54,5556,4548,1008,105,32,1081,0,1081,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
684,2016,함안군상수도,3225.23,99.82,0.18,-37.59,-2.64,-76.88,-2.6,0.07,0.07,81.22,81.22,55.57,6854,11138,-4284,2205,15,-2094,0,-2094,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
685,2017,함안군상수도,3592.79,99.78,0.23,-23.48,-1.6,-74.56,-1.6,0.07,0.07,87.83,87.83,56.15,7005,11419,-4414,3024,0,-1390,0,-1390,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
686,2018,함안군상수도,4052.15,99.74,0.26,-38.79,-2.44,-80.61,-2.43,0.06,0.06,79.84,79.84,55.61,6616,11387,-4771,2475,0,-2296,0,-2296,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
687,2019,함안군상수도,3562.69,99.72,0.28,-66.89,-1.92,-66.89,-1.91,0.06,0.06,82.05,82.05,59.92,6597,10733,-4136,2209,0,-1927,0,-1927,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
688,2020,함안군상수도,1358.53,99.51,0.49,-22.88,-1.51,-48.11,-1.5,0.07,0.07,85.5,85.5,66.65,7768,11176,-3408,1788,0,-1620,0,-1620,기초,비수도권,경상남도,경상남도 함안군,직영,상수도
689,2011,양주시시설관리공단,600.13,86.37,15.78,0,0,0,0,9.75,13.35,100,100,100,3810,3810,0,0,0,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
690,2012,양주시시설관리공단,303.79,55.49,80.21,0,0,0,0,12.54,19.13,100,100,100,5740,5740,0,0,0,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
691,2013,양주시시설관리공단,518.89,79.58,25.66,0,0,0,0,13.59,20.78,100,100,100,6235,6235,0,17,17,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
692,2014,양주시시설관리공단,226.5,55.88,78.94,0,0,0,0,16.93,25.79,100,100,100,7735,7735,0,0,0,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
693,2015,양주시시설관리공단,223.26,55.03,81.72,0,0,0,0,14.87,26.81,100,100,100,8043,8043,0,0,0,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
694,2016,양주시시설관리공단,216,54,84,0,0,0,0,15,28,100,100,100,8471,8471,0,0,0,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
695,2017,양주시시설관리공단,184.35,46.63,114.44,0,0,0,0,15.72,31.29,100,100,100,9388,9388,0,3,3,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
696,2018,양주시시설관리공단,179.01,49.27,102.97,0,0,0,0,17.5,36.53,100,100,100,10958,10958,0,4,4,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
697,2019,양주시시설관리공단,136.71,27.68,261.29,0,0,0,0,17.05,48.11,100,100,100,14433,14433,0,4,4,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
698,2020,양주시시설관리공단,175.82,42.18,137.1,0,0,0,0,56.32,18.82,100,100,100,16896,16896,0,5,5,0,0,0,기초,수도권,경기도,경기도 양주시,간접,지방공단
699,2011,통영관광개발공사,585.03,93.9,6.49,32.13,15.28,26.29,20.94,49.1,0.48,145.23,169.12,171.38,11220,6547,4673,354,296,4731,1126,3605,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
700,2012,통영관광개발공사,826.68,95.05,5.21,26.43,13.37,23.61,18.61,50.33,0.51,134.59,148.6,151.84,11488,7566,3922,326,385,3863,827,3036,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
701,2013,통영관광개발공사,1008.3,95.59,4.61,22.84,11.64,26,11.09,0.49,0.51,127.92,167.65,135.14,11698,8657,3041,543,135,3449,779,2670,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
702,2014,통영관광개발공사,114424,95.56,4.65,13.01,6.45,14.68,6.16,0.47,0.5,114.37,119.97,117.21,11317,9655,1662,401,134,1929,457,1472,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
703,2015,통영관광개발공사,805.67,93.85,6.55,30.97,17.31,27.42,16.38,0.53,0.56,148.93,148.93,137.77,13460,9769,3691,1563,317,4937,768,4169,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
704,2016,통영관광개발공사,1433.82,96,4.16,16.69,8.17,17.62,7.76,0.46,0.49,124.89,124.89,121.39,12272,10110,2162,643,231,2574,526,2048,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
705,2017,통영관광개발공사,1268.92,94.55,5.77,29,16.84,32.81,16.04,0.55,0.58,152.3,152.3,148.83,15025,10094,4931,570,144,5357,997,4360,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
706,2018,통영관광개발공사,1664.26,95.95,4.22,12.67,5.8,6.06,5.52,0.44,0.46,116.25,116.25,106.45,12016,11288,728,1294,162,1860,338,1522,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
707,2019,통영관광개발공사,1624.03,97.25,2.83,18.02,6.93,17.09,6.7,0.37,0.38,124.79,124.79,120.62,12316,10211,2105,492,53,2544,325,2219,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
708,2020,통영관광개발공사,1348.9,97.71,2.35,-17.77,-3.72,-22.52,-3.63,0.2,0.21,80.38,80.38,81.62,7802,9559,1757,495,763,-2025,-639,-1386,기초,비수도권,경상남도,경상남도 통영시,간접,기타공사
709,2011,영양고추유통공사,199.34,42.46,135.53,6.91,15.27,19.31,8.06,0.92,2.21,107.3,109.4,109.3,19589,17921,1668,376,333,1711,357,1354,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
710,2012,영양고추유통공사,172.89,31.64,216.08,4.23,7.57,3.48,1.26,0.65,1.79,104.2,105.2,102,17417,17079,338,673,122,889,153,736,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
711,2013,영양고추유통공사,144.95,45.64,119.09,-13.37,-12.01,-12.01,-4.82,0.36,0.9,88.6,88.6,87.4,13974,15997,-2023,483,329,-1869,0,-1869,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
712,2014,영양고추유통공사,91.47,44.18,126.32,-12.94,-19.37,-16.03,-7.56,0.58,1.49,89,89,86.2,20050,23247,-3197,946,345,-2596,0,-2596,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
713,2015,영양고추유통공사,81.19,44.93,122.56,11.48,10.29,-14.82,4.59,0.4,0.9,109.8,109.8,87.09,12156,13957,-1801,3489,292,1396,0,1396,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
714,2016,영양고추유통공사,88.64,46.75,113.92,0.95,0.9,-11.33,0.41,0.43,0.95,100.84,100.84,89.83,13544,15078,-1534,1893,230,129,0,129,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
715,2017,영양고추유통공사,97.23,58.43,71.14,-0.92,-1.1,-2.78,-0.57,0.62,1.2,99.12,99.12,99.12,17447,17932,-485,596,271,-160,0,-160,기초,비수도권,경상북도,경상북도 영양군,간접,기타공사
