Date,Open,High,Low,Close,Adj Close,Volume
2022-10-06,52.779999,54.099998,50.099998,53.720001,52.457077,16843800
2022-10-07,58.360001,64.120003,57.869999,63.209999,61.723972,21179100
2022-10-10,63.830002,72.250000,63.660000,69.730003,68.090698,19714300
2022-10-11,73.190002,78.360001,71.400002,75.589996,73.812920,21038900
2022-10-12,75.699997,78.639999,74.650002,77.720001,75.892853,14188100
2022-10-13,87.290001,89.589996,66.519997,70.629997,68.969528,29061600
2022-10-14,68.199997,80.599998,68.150002,80.050003,78.168083,17403900
2022-10-17,73.620003,76.769997,71.349998,75.250000,73.480927,13056100
2022-10-18,68.019997,78.040001,66.250000,74.269997,72.523956,16835500
2022-10-19,75.629997,76.500000,70.500000,72.440002,70.736984,11541400
2022-10-20,71.570000,72.550003,64.599998,71.160004,69.487076,17295000
2022-10-21,72.040001,72.809998,62.869999,63.500000,62.007156,18128200
2022-10-24,62.869999,67.029999,61.669998,62.290001,60.825603,14365600
2022-10-25,61.759998,62.099998,56.980000,58.389999,57.017288,13783900
2022-10-26,61.759998,62.820000,55.889999,60.119999,58.706615,17311600
2022-10-27,59.029999,63.480000,57.150002,63.279999,61.792328,13620300
2022-10-28,63.009998,63.500000,55.570000,55.810001,54.497944,14983300
2022-10-31,57.139999,60.320000,56.849998,59.389999,57.993778,11714800
2022-11-01,56.000000,59.169998,55.279999,58.049999,56.685284,11075300
2022-11-02,57.029999,63.840000,53.889999,63.580002,62.085278,19971500
2022-11-03,67.169998,69.089996,63.230000,66.230003,64.672974,15955500
2022-11-04,59.369999,61.810001,56.560001,56.820000,55.484200,21070600
2022-11-07,55.259998,57.639999,52.549999,53.060001,51.812595,10249100
2022-11-08,50.340000,53.060001,47.799999,49.910000,48.736649,21470300
2022-11-09,52.090000,54.779999,51.680000,54.610001,53.326157,19098300
2022-11-10,45.169998,46.599998,37.110001,37.770000,36.882050,35586700
2022-11-11,36.910000,38.270000,33.400002,33.889999,33.093269,31713200
2022-11-14,34.639999,35.220001,33.230000,35.070000,34.245525,25931800
2022-11-15,30.900000,33.619999,30.549999,32.000000,31.247700,45945300
2022-11-16,34.279999,36.689999,34.139999,36.169998,35.319668,36062300
2022-11-17,38.520000,38.580002,34.730000,35.160000,34.333412,44821500
2022-11-18,33.560001,36.189999,33.389999,34.970001,34.147881,27744000
2022-11-21,36.169998,37.110001,35.820000,36.730000,35.866501,23228400
2022-11-22,35.959999,36.790001,33.410000,33.439999,32.653847,24609200
2022-11-23,33.500000,33.650002,31.309999,32.369999,31.609001,34103100
2022-11-25,32.730000,33.630001,32.590000,33.630001,32.839382,12373500
2022-11-28,34.880001,36.860001,33.820000,36.279999,35.427078,25280000
2022-11-29,35.980000,37.270000,35.200001,36.529999,35.671204,23873600
2022-11-30,36.270000,37.230000,29.950001,30.010000,29.304483,38414900
2022-12-01,29.490000,31.920000,29.379999,30.709999,29.988028,32130300
2022-12-02,33.049999,33.470001,31.570000,31.790001,31.042639,33225100
2022-12-05,32.349998,33.810001,31.459999,32.860001,32.087482,22252300
2022-12-06,32.900002,36.029999,32.849998,35.150002,34.323650,25977900
2022-12-07,36.139999,36.299999,34.509998,35.160000,34.333412,22107300
2022-12-08,34.610001,35.360001,32.150002,32.299999,31.540648,25792300
2022-12-09,32.740002,33.540001,31.480000,33.230000,32.448784,25409100
2022-12-12,33.599998,34.200001,31.309999,31.320000,30.583687,21922100
2022-12-13,27.200001,31.000000,26.799999,29.790001,29.089659,43544400
2022-12-14,30.030001,32.189999,28.959999,31.180000,30.446980,31804300
2022-12-15,33.130001,35.259998,32.700001,35.060001,34.235764,32919800
2022-12-16,35.669998,37.009998,34.799999,35.970001,35.124374,25980000
2022-12-19,35.919998,38.389999,35.830002,37.349998,36.471924,22020100
2022-12-20,38.630001,38.919998,36.869999,37.959999,37.141171,20582300
2022-12-21,37.320000,37.430000,34.970001,35.290001,34.528767,22835100
2022-12-22,37.209999,41.790001,37.209999,39.700001,38.843639,38639300
2022-12-23,40.700001,41.970001,39.580002,39.660000,38.804501,27700200
2022-12-27,40.480000,42.320000,40.450001,41.860001,40.957043,23056600
2022-12-28,42.580002,44.139999,41.040001,43.599998,42.659512,24259800
2022-12-29,41.549999,41.990002,38.840000,39.299999,38.452267,27928400
2022-12-30,41.209999,42.060001,39.450001,39.509998,38.657738,19544700
2023-01-03,37.500000,41.500000,37.400002,40.889999,40.007969,21566700
2023-01-04,38.610001,39.900002,36.880001,37.560001,36.749802,32354800
2023-01-05,38.700001,39.730000,37.970001,39.630001,38.775146,24192100
2023-01-06,38.080002,39.599998,33.369999,34.090000,33.354652,36125300
2023-01-09,32.139999,32.849998,29.799999,32.110001,31.417362,40229000
2023-01-10,32.529999,32.990002,30.799999,30.870001,30.204109,25282800
2023-01-11,30.840000,31.660000,29.680000,29.709999,29.069130,26651900
2023-01-12,29.309999,31.129999,28.120001,28.740000,28.120054,51767600
2023-01-13,29.760000,29.980000,28.350000,28.450001,27.836309,28386600
2023-01-17,28.610001,29.080000,27.410000,28.190001,27.581919,28747600
2023-01-18,27.389999,28.750000,26.730000,28.709999,28.090700,36639700
2023-01-19,29.520000,31.440001,29.420000,31.150000,30.478067,45119300
2023-01-20,30.250000,31.139999,28.180000,28.280001,27.669979,33647700
2023-01-23,27.490000,27.610001,23.730000,24.049999,23.531221,60169600
2023-01-24,24.830000,24.980000,23.879999,24.480000,23.951946,32519800
2023-01-25,25.770000,26.420000,24.209999,24.299999,23.775827,43992500
2023-01-26,23.540001,24.760000,23.080000,23.170000,22.670204,41127600
2023-01-27,24.370001,24.549999,23.010000,23.620001,23.110498,39543800
2023-01-30,24.580000,25.559999,24.170000,25.400000,24.852100,40086400
2023-01-31,25.730000,25.730000,24.049999,24.070000,23.550791,35955500
2023-02-01,23.770000,23.799999,19.559999,20.309999,19.871895,69409200
2023-02-02,19.709999,20.309999,18.410000,18.990000,18.580370,62816100
2023-02-03,20.190001,20.379999,18.760000,20.020000,19.588152,64535300
2023-02-06,20.980000,21.309999,20.110001,21.000000,20.547012,45543100
2023-02-07,20.860001,20.969999,18.719999,19.000000,18.590155,56762600
2023-02-08,19.360001,20.379999,18.940001,20.219999,19.783836,37383900
2023-02-09,19.190001,20.580000,18.500000,20.080000,19.646858,54064200
2023-02-10,20.750000,21.750000,20.570000,21.090000,20.635071,51589700
2023-02-13,20.830000,21.389999,19.980000,20.190001,19.754486,31466900
2023-02-14,20.690001,21.180000,18.879999,19.070000,18.658644,68369600
2023-02-15,19.709999,20.120001,18.840000,18.850000,18.443392,43770600
2023-02-16,19.850000,20.360001,19.290001,20.230000,19.793621,52984700
2023-02-17,20.629999,21.799999,20.450001,21.209999,20.752481,51427600
2023-02-21,22.219999,23.440001,21.500000,23.299999,22.797400,39551700
2023-02-22,23.120001,24.090000,22.600000,23.650000,23.139851,41046300
2023-02-23,21.320000,22.780001,21.000000,21.309999,20.850325,53777800
2023-02-24,22.530001,22.990000,22.180000,22.430000,21.946167,40470000
2023-02-27,21.469999,22.180000,21.379999,22.090000,21.613501,27292100
2023-02-28,22.320000,22.480000,21.020000,21.940001,21.466736,35043700
2023-03-01,21.750000,22.219999,21.129999,21.879999,21.408030,37253300
2023-03-02,22.920000,23.459999,21.090000,21.400000,20.938383,40296600
2023-03-03,21.379999,21.959999,20.379999,20.469999,20.028444,33552900
2023-03-06,20.299999,21.330000,19.750000,21.150000,20.693777,32534900
2023-03-07,21.139999,22.120001,20.820000,21.850000,21.378679,40381600
2023-03-08,21.570000,21.590000,20.040001,20.120001,19.685995,45262100
2023-03-09,20.240000,21.440001,19.240000,21.320000,20.860109,55552600
2023-03-10,21.020000,22.879999,20.820000,22.520000,22.034225,73680400
2023-03-13,23.240000,23.980000,21.730000,22.580000,22.092932,61915200
2023-03-14,21.400000,21.750000,20.170000,20.520000,20.077366,50110500
2023-03-15,21.490000,22.620001,21.170000,21.299999,20.840540,49619800
2023-03-16,21.629999,21.920000,18.700001,18.850000,18.443392,56546600
2023-03-17,18.770000,19.510000,18.299999,19.139999,18.727135,44877000
2023-03-20,19.120001,19.580000,18.389999,18.530001,18.130295,34470100
2023-03-21,17.940001,19.139999,17.360001,18.320000,18.108547,39980300
2023-03-22,18.299999,18.830000,16.840000,18.809999,18.592890,55897800
2023-03-23,17.900000,18.350000,16.549999,17.299999,17.100319,73553300
2023-03-24,17.730000,18.770000,17.610001,18.200001,17.989933,47051000
2023-03-27,18.049999,19.090000,17.870001,18.900000,18.681852,33815300
2023-03-28,19.049999,20.200001,19.020000,19.320000,19.097004,37406700
2023-03-29,18.440001,18.490000,17.049999,17.450001,17.248589,53699900
2023-03-30,16.840000,17.000000,16.320000,16.650000,16.457823,50730900
2023-03-31,17.000000,17.120001,16.270000,16.280001,16.092094,42297300
2023-04-03,16.639999,17.360001,16.440001,16.750000,16.556667,41151000
2023-04-04,16.700001,17.980000,16.660000,17.700001,17.495705,43158700
2023-04-05,18.299999,19.219999,18.230000,18.670000,18.454508,45120400
2023-04-06,19.230000,19.639999,18.549999,18.940001,18.721392,37391200
2023-04-10,19.490000,19.590000,17.930000,17.990000,17.782356,33734000
2023-04-11,17.660000,18.370001,17.629999,18.290001,18.078894,25613900
2023-04-12,17.750000,19.320000,17.670000,19.250000,19.027813,46046300
2023-04-13,19.180000,19.620001,18.469999,18.820000,18.602776,30133500
2023-04-14,18.879999,19.530001,18.209999,18.900000,18.681852,31631000
2023-04-17,19.549999,19.709999,18.889999,18.930000,18.711506,23917900
2023-04-18,18.420000,19.150000,18.000000,18.650000,18.434738,25005400
2023-04-19,19.389999,19.670000,19.170000,19.299999,19.077234,23292200
2023-04-20,19.930000,19.969999,18.510000,19.350000,19.126659,37710700
2023-04-21,19.580000,20.340000,19.570000,19.799999,19.571465,32693700
2023-04-24,19.950001,20.510000,19.600000,20.100000,19.868002,21176900
2023-04-25,20.469999,22.170000,20.459999,22.150000,21.894341,34002100
2023-04-26,21.420000,22.139999,21.120001,21.760000,21.508842,32338500
2023-04-27,22.000000,23.219999,21.459999,21.530001,21.281498,34435400
2023-04-28,21.309999,21.549999,20.400000,20.420000,20.184309,25547800
2023-05-01,20.139999,20.340000,19.670000,19.850000,19.620888,22903200
2023-05-02,19.850000,20.870001,19.520000,20.299999,20.065693,30490300
2023-05-03,20.600000,21.040001,19.889999,20.990000,20.747728,34336400
2023-05-04,21.530001,21.950001,20.750000,21.370001,21.123344,28534500
2023-05-05,21.330000,21.650000,19.690001,19.980000,19.749386,27583900
2023-05-08,20.030001,20.540001,19.680000,19.719999,19.492388,19417800
2023-05-09,20.559999,20.980000,20.480000,20.740000,20.500614,20312100
2023-05-10,20.049999,20.750000,19.670000,20.120001,19.887772,30291700
2023-05-11,20.100000,21.100000,20.000000,20.510000,20.273270,23605200
2023-05-12,20.350000,21.209999,20.070000,20.540001,20.302923,20957000
2023-05-15,20.469999,20.650000,18.930000,18.950001,18.731276,30740600
2023-05-16,19.160000,19.170000,18.400000,19.040001,18.820238,28903400
2023-05-17,18.520000,18.950001,17.420000,17.660000,17.456165,44054400
2023-05-18,17.440001,17.480000,15.880000,15.980000,15.795555,61114000
2023-05-19,16.100000,16.549999,16.040001,16.250000,16.062439,36427800
2023-05-22,16.700001,16.740000,15.950000,16.090000,15.904286,31264300
2023-05-23,16.420000,16.799999,16.110001,16.690001,16.497362,31832600
2023-05-24,17.700001,18.110001,17.360001,17.570000,17.367203,51904400
2023-05-25,15.230000,15.810000,13.900000,14.100000,13.937255,98990900
2023-05-26,13.500000,13.510000,11.130000,11.350000,11.218996,108103700
2023-05-30,10.560000,11.530000,10.440000,11.380000,11.248650,92375500
2023-05-31,11.970000,12.280000,11.490000,12.250000,12.108608,97665900
2023-06-01,12.060000,12.430000,11.320000,11.660000,11.525417,74319300
2023-06-02,11.370000,12.000000,11.280000,11.720000,11.584725,58727300
2023-06-05,11.900000,12.470000,11.900000,12.300000,12.158031,41888700
2023-06-06,12.560000,12.620000,11.660000,11.860000,11.723109,52750000
2023-06-07,11.640000,11.990000,11.110000,11.900000,11.762648,74465600
2023-06-08,11.840000,12.010000,11.460000,11.560000,11.426573,48391200
2023-06-09,11.170000,11.670000,10.940000,11.480000,11.347495,55218100
2023-06-12,11.080000,11.130000,10.330000,10.380000,10.260192,62707500
2023-06-13,9.880000,10.320000,9.750000,9.950000,9.835155,76906400
2023-06-14,10.070000,10.260000,9.520000,9.550000,9.439773,88124300
2023-06-15,9.870000,9.990000,9.570000,9.800000,9.686887,70039100
2023-06-16,9.490000,10.110000,9.480000,10.100000,9.983424,55437900
2023-06-20,10.230000,10.590000,9.950000,10.310000,10.191000,50553200
2023-06-21,10.390000,10.990000,10.240000,10.950000,10.950000,69809700
2023-06-22,11.220000,11.240000,10.670000,10.770000,10.770000,50046900
2023-06-23,11.340000,11.550000,11.200000,11.390000,11.390000,49734200
2023-06-26,11.170000,11.290000,10.630000,11.270000,11.270000,51713600
2023-06-27,11.170000,11.320000,10.050000,10.110000,10.110000,60814000
2023-06-28,10.610000,10.640000,10.080000,10.390000,10.390000,57613500
2023-06-29,10.220000,10.620000,10.200000,10.310000,10.310000,56058300
2023-06-30,10.040000,10.140000,9.750000,9.870000,9.870000,45399100
2023-07-03,9.740000,9.960000,9.540000,9.620000,9.620000,22395600
2023-07-05,9.840000,10.270000,9.760000,10.260000,10.260000,43313500
2023-07-06,10.810000,11.060000,10.610000,10.640000,10.640000,59635900
2023-07-07,10.590000,10.710000,10.150000,10.640000,10.640000,45409000
2023-07-10,10.570000,10.600000,9.960000,9.990000,9.990000,53074900
